Region,City,ZipCode,Population,HouseholdSize,IncomeLevel,FoodType,DemandAmount,EmergencyStatus,SeasonalFactor,SupplyType,DistributionPriority
Riverachester,New Joann,19182,167187,2,High,Fresh Produce,723,None,Normal,Perishable,Standard
Lake Bethanyville,Whiteborough,92872,130780,6,Low,Canned Goods,1000,Economic,Normal,Non-Perishable,High
Jacobview,West Cheryl,28858,168100,2,Medium,Canned Goods,354,Weather,Normal,Non-Perishable,Standard
Pearsonstad,Ashleyhaven,79038,125885,6,Medium,Dry Goods,15,None,Summer,Non-Perishable,Standard
Kelseyview,New Monica,67034,101344,2,Low,Dry Goods,33,None,Summer,Non-Perishable,Medium
North Sarah,Robinsonchester,74496,134438,5,High,Meat/Poultry,170,None,Normal,Perishable,Standard
New Kevin,Lake Curtis,13147,171228,3,Medium,Meat/Poultry,1000,Economic,Normal,Perishable,Standard
Port Sheilafurt,Benderborough,66469,178505,6,Low,Dry Goods,1000,Economic,Normal,Non-Perishable,High
Wellsview,Davidton,30962,53827,3,Medium,Fresh Produce,10,None,Normal,Perishable,Standard
Carolborough,South Leah,17617,184837,3,Low,Canned Goods,914,None,Holiday,Non-Perishable,Medium
Jimenezton,New Kelli,91247,55772,2,Low,Dairy,10,Economic,Holiday,Perishable,Medium
Laurenhaven,Rogersside,02545,140759,2,Medium,Dry Goods,428,None,BackToSchool,Non-Perishable,Standard
Shellyshire,East Shannon,56766,91390,2,Medium,Dry Goods,10,None,Normal,Non-Perishable,Standard
Warrenfurt,Port Deborah,52640,50736,5,Medium,Canned Goods,10,None,Summer,Non-Perishable,Standard
Jeremyview,Brandontown,55955,185295,5,Low,Meat/Poultry,1000,None,Normal,Perishable,High
West Krystal,Lisafort,77856,74168,5,Low,Meat/Poultry,10,Economic,Normal,Perishable,High
Lake Jeffrey,Kennethborough,09006,177423,4,Medium,Fresh Produce,1000,Weather,Holiday,Perishable,Standard
Bauerhaven,Leefurt,31344,110213,5,Medium,Dry Goods,94,None,Normal,Non-Perishable,Standard
South Melissa,Donnaside,64923,152888,4,Low,Dry Goods,1000,None,Holiday,Non-Perishable,High
New Rachelstad,Ruizport,94702,108635,3,High,Dairy,16,None,Normal,Perishable,Standard
Jeremiahville,Robinburgh,55962,101659,2,Low,Dry Goods,16,None,Normal,Non-Perishable,Medium
West Arianaview,North Emilymouth,88943,149215,2,Medium,Canned Goods,114,None,Normal,Non-Perishable,Standard
Bakerberg,Port Autumnland,06114,53445,6,Low,Meat/Poultry,10,Economic,Normal,Perishable,High
Bensonchester,Port Leah,94387,114651,6,Low,Canned Goods,163,Weather,BackToSchool,Non-Perishable,High
Lake Tammy,Meganbury,54971,78118,6,Medium,Dry Goods,10,None,Normal,Non-Perishable,Standard
Smithstad,Bowmanland,74734,146208,6,High,Dry Goods,277,None,Holiday,Non-Perishable,Standard
Lake Gregory,North Cassandra,40257,124531,3,High,Canned Goods,55,None,Holiday,Non-Perishable,Standard
Lake Nicoleton,Delacruzmouth,51607,118503,1,Medium,Dry Goods,276,None,Holiday,Non-Perishable,Standard
North Katieborough,Jenkinsview,32719,168092,1,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
Port Josephbury,Amberville,01762,162818,4,Medium,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Valeriechester,Robertstown,10112,88340,2,Medium,Dairy,10,None,Normal,Perishable,Standard
Matthewburgh,East Kelseyland,89382,52442,6,Medium,Dry Goods,10,None,Normal,Non-Perishable,Standard
West Jenniferberg,South Jessicamouth,76359,52167,6,Medium,Dairy,10,None,Normal,Perishable,Standard
Thompsonstad,New Cindyton,80320,177617,4,High,Canned Goods,543,None,Normal,Non-Perishable,Standard
Stevenhaven,Brandifort,68580,134147,2,Medium,Fresh Produce,287,None,Holiday,Perishable,Standard
Lake Gail,Williamsontown,32317,166477,5,Low,Dairy,921,Health,Summer,Perishable,High
Lake Melissafurt,North Denise,85267,170004,2,Low,Meat/Poultry,1000,Weather,Normal,Perishable,Medium
West Todd,Khanville,73544,130610,1,Low,Fresh Produce,615,Weather,Normal,Perishable,Medium
Caseytown,New Jeffery,05738,105248,1,High,Dry Goods,30,None,Normal,Non-Perishable,Standard
North Dana,New Jeremyville,70560,163422,2,High,Dry Goods,96,Economic,Summer,Non-Perishable,Standard
Christinashire,South Nicholasview,47888,169536,6,Low,Dry Goods,1000,Health,Holiday,Non-Perishable,High
Smithport,Josephmouth,31888,133245,2,Medium,Dry Goods,291,None,Normal,Non-Perishable,Standard
Carterborough,Port Connieview,06396,125339,1,Low,Dry Goods,552,Weather,BackToSchool,Non-Perishable,Medium
Michaelview,Donnamouth,67355,104165,2,Low,Fresh Produce,41,None,Normal,Perishable,Medium
West Jeffreyside,South Sandraton,52220,146597,5,High,Canned Goods,122,None,Normal,Non-Perishable,Standard
Wellsland,Ryanville,63658,88941,3,Medium,Meat/Poultry,10,Economic,Holiday,Perishable,Standard
Pughville,New Timothy,56973,157392,3,High,Canned Goods,913,Weather,Normal,Non-Perishable,Standard
Jesustown,Maryport,62277,128899,3,Low,Canned Goods,620,None,Normal,Non-Perishable,Medium
Martinezmouth,Cherylburgh,19791,59046,3,Medium,Canned Goods,10,None,Normal,Non-Perishable,Standard
West Crystalburgh,Samanthamouth,52775,118329,5,High,Canned Goods,159,None,Normal,Non-Perishable,Standard
West Carolyn,Reynoldsbury,21922,131040,2,High,Dry Goods,297,None,Normal,Non-Perishable,Standard
Lake Monicaport,New Jason,56799,81783,5,Low,Fresh Produce,10,None,Normal,Perishable,High
Patrickburgh,North Christineberg,06959,99110,3,Low,Fresh Produce,10,None,Normal,Perishable,Medium
Jamesshire,West Michael,88752,196105,2,Low,Meat/Poultry,1000,Weather,Normal,Perishable,Medium
New Seanhaven,Mcknightfurt,92642,57120,5,Medium,Meat/Poultry,10,None,Normal,Perishable,Standard
South Larry,New Nathanchester,06159,109056,5,Low,Meat/Poultry,217,None,Holiday,Perishable,High
Lake Jessicahaven,Bridgettown,19378,83494,5,Low,Dairy,10,None,Normal,Perishable,High
Lake Kenneth,Baldwinmouth,79859,58805,6,Medium,Canned Goods,10,Economic,Normal,Non-Perishable,Standard
Christopherstad,Knappview,54831,122712,5,Medium,Fresh Produce,110,None,Normal,Perishable,Standard
Jacksonmouth,Kylefort,13975,150682,6,Low,Dairy,273,None,BackToSchool,Perishable,High
Petersfort,North Keith,95145,98361,4,Medium,Dry Goods,10,None,Normal,Non-Perishable,Standard
Davidchester,Evansmouth,62071,55203,1,Low,Canned Goods,10,None,Normal,Non-Perishable,Medium
Frederickview,South Melissamouth,26262,62329,2,Medium,Meat/Poultry,10,None,Normal,Perishable,Standard
Zacharybury,Brianfort,54052,150873,5,High,Fresh Produce,452,None,Normal,Perishable,Standard
North Alfred,East Daniellestad,80210,197019,1,Low,Canned Goods,840,None,Normal,Non-Perishable,Medium
Port Joanneburgh,Joshuastad,60841,168543,2,Medium,Meat/Poultry,1000,Health,Normal,Perishable,Standard
Catherinestad,Lauramouth,81868,137199,4,Low,Fresh Produce,295,None,Normal,Perishable,High
Patricialand,North Scott,43583,149006,4,Low,Fresh Produce,1000,None,Summer,Perishable,High
Walterston,Chambersfurt,38705,164739,5,Medium,Fresh Produce,848,None,Holiday,Perishable,Standard
North Pamelaside,West Lisaland,97349,63494,3,High,Dairy,10,Weather,Summer,Perishable,Standard
Lake Haley,Sandersmouth,84679,94871,3,High,Fresh Produce,10,None,Normal,Perishable,Standard
North Josephshire,Josephbury,22088,199201,2,Medium,Meat/Poultry,1000,Economic,Normal,Perishable,Standard
North Jason,Lake Danamouth,43618,98587,3,Low,Canned Goods,10,None,Normal,Non-Perishable,Medium
Port Alex,East Veronicaberg,01683,80690,4,High,Dairy,10,None,Summer,Perishable,Standard
New Martinfurt,West Darin,27417,95212,5,High,Canned Goods,10,Economic,Normal,Non-Perishable,Standard
Elliottburgh,Jonesside,74942,150245,6,Medium,Meat/Poultry,621,None,Normal,Perishable,Standard
Amandashire,West Leslieburgh,57351,155377,4,High,Canned Goods,70,None,Normal,Non-Perishable,Standard
Johnsonbury,Deannatown,69470,53540,2,High,Dry Goods,10,None,Holiday,Non-Perishable,Standard
Sarahstad,Paynemouth,39101,84926,3,High,Dairy,10,None,Normal,Perishable,Standard
Andersonfort,South Nicholas,56372,118617,1,Medium,Canned Goods,48,Health,Holiday,Non-Perishable,Standard
East Joshuahaven,Lake Johnland,04575,169704,2,Low,Canned Goods,685,Economic,Normal,Non-Perishable,Medium
Port Shaunfort,Seanhaven,69782,108280,1,Medium,Dry Goods,126,None,Summer,Non-Perishable,Standard
Port Mary,Joshuaside,40478,167439,6,Low,Dry Goods,152,None,BackToSchool,Non-Perishable,High
Lake Patrick,East Katrinaburgh,74771,100529,1,Low,Dry Goods,10,Economic,BackToSchool,Non-Perishable,Medium
East Corey,Mcgrathton,89817,73602,1,Low,Fresh Produce,10,Health,Normal,Perishable,Medium
Lindseyville,Davidburgh,15419,63083,3,Medium,Canned Goods,10,None,BackToSchool,Non-Perishable,Standard
New Ellen,Gabriellefurt,07690,83376,5,Medium,Canned Goods,10,None,Summer,Non-Perishable,Standard
East William,South Anthonyview,09539,100333,3,Low,Canned Goods,10,None,BackToSchool,Non-Perishable,Medium
Langfurt,South Jennifer,61146,66743,2,Medium,Canned Goods,10,Economic,Normal,Non-Perishable,Standard
New Danielleview,New Melissa,88503,170526,2,Low,Meat/Poultry,1000,None,Summer,Perishable,Medium
East Alexanderburgh,Samanthaton,62496,75173,2,Low,Meat/Poultry,10,Health,Normal,Perishable,Medium
South George,Port Jeffrey,05213,142087,6,Low,Canned Goods,1000,Economic,Summer,Non-Perishable,High
Port Kevin,Loriside,60721,150318,4,Low,Fresh Produce,1000,Health,Holiday,Perishable,High
Lake Lisa,North Ryan,10865,93461,3,Medium,Fresh Produce,10,None,Normal,Perishable,Standard
Nathanshire,South Angelamouth,32682,65200,1,Low,Dairy,10,Weather,Normal,Perishable,Medium
Port Peterchester,Cainport,44790,91527,3,Low,Canned Goods,10,Health,Holiday,Non-Perishable,Medium
East Kimberly,South Georgemouth,47501,197554,1,Low,Meat/Poultry,258,None,Normal,Perishable,Medium
Lake Jessica,Scottfurt,06157,184163,3,Low,Dry Goods,510,None,Normal,Non-Perishable,Medium
Elizabethburgh,North Allison,22251,198356,6,Low,Meat/Poultry,832,Economic,Normal,Perishable,High
Baileychester,East Isaiahhaven,84625,116747,6,Low,Dry Goods,545,None,Holiday,Non-Perishable,High
South Williamfort,Julieview,83179,87787,1,Low,Dairy,10,None,Normal,Perishable,Medium
South Johnview,Lewisview,03030,125084,4,Medium,Dry Goods,432,None,Normal,Non-Perishable,Standard
Victoriafurt,Lake Kyle,56693,160289,3,Low,Dry Goods,491,None,Summer,Non-Perishable,Medium
Martinton,Ericfort,76200,79618,1,Medium,Dry Goods,10,None,Holiday,Non-Perishable,Standard
Karlburgh,South Elizabethfort,13340,194540,1,Medium,Canned Goods,32,Weather,Normal,Non-Perishable,Standard
Lake Jessicastad,North Jessica,88696,78465,5,Low,Fresh Produce,10,None,Normal,Perishable,High
Charlesborough,Rachelfort,32430,119250,2,Medium,Meat/Poultry,307,Economic,Holiday,Perishable,Standard
Morrowville,Millerburgh,30555,56088,6,Medium,Dry Goods,10,Weather,Holiday,Non-Perishable,Standard
Cathyfurt,Jonesport,80057,102625,5,Medium,Dry Goods,36,None,Summer,Non-Perishable,Standard
Steeleview,Mitchellport,62051,142208,4,Medium,Fresh Produce,268,None,Normal,Perishable,Standard
Pachecotown,Michelemouth,69965,88711,5,Low,Dairy,10,Health,Summer,Perishable,High
East Kellyburgh,North Jamesstad,71202,60934,2,Low,Dry Goods,10,None,Normal,Non-Perishable,Medium
Karenville,Hodgesshire,09170,517017,4,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Christopher,Jeremymouth,40800,599991,3,Low,Fresh Produce,1000,Weather,Normal,Perishable,Medium
Romeroborough,Dyershire,67463,1874192,1,High,Dairy,1000,None,Normal,Perishable,Standard
Franktown,Brettbury,49795,1915985,2,Medium,Dairy,1000,None,Normal,Perishable,Standard
Keithport,East Daniel,90827,1323461,6,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Lake Mary,Reevesshire,92343,930220,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Hallborough,New Tanner,84022,2692580,6,High,Dry Goods,521,Weather,Normal,Non-Perishable,Standard
Janetborough,Port Michelle,36245,4018387,1,Low,Dry Goods,1000,Health,Normal,Non-Perishable,Medium
Nancyhaven,New Katelyn,37711,2017715,6,Medium,Dairy,1000,None,Normal,Perishable,Standard
Irwinport,North Daniel,71792,1514987,6,Low,Fresh Produce,1000,None,Normal,Perishable,High
Robertsport,Ambershire,68767,250491,4,Low,Dry Goods,1000,Economic,Normal,Non-Perishable,High
Williamsberg,North Nancy,63657,1139540,1,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
New Natalieport,Lauraland,89863,4611110,2,High,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
New Johnborough,New Jasonfurt,99183,1538943,5,High,Dairy,310,None,Normal,Perishable,Standard
West Adam,Pattersonton,71567,3237281,3,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
Mindymouth,Brookebury,29682,3855497,6,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Sanchezmouth,South Williamville,92420,77412,3,Medium,Dry Goods,10,None,Holiday,Non-Perishable,Standard
Jonesland,Lake Sandyview,55573,2045427,1,High,Dry Goods,1000,None,Summer,Non-Perishable,Standard
East Angie,North Ruth,43777,1839617,1,Low,Dairy,1000,Economic,Normal,Perishable,Medium
East Nicholasside,New Angelamouth,63158,1712319,6,Low,Fresh Produce,1000,None,Normal,Perishable,High
Lake Tiffany,West Kelly,76841,3284200,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Allenstad,East Austinfurt,43183,1442514,3,Low,Fresh Produce,1000,None,BackToSchool,Perishable,Medium
South Alexandra,Rosstown,41899,537609,6,High,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Port Jason,Port Robertbury,17802,123420,4,Low,Meat/Poultry,1000,None,Holiday,Perishable,High
Davidfurt,West Nathanshire,47572,436992,6,High,Dairy,1000,Weather,Normal,Perishable,Standard
Andreaton,South Michael,59706,950443,3,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
South Christopherview,West Arthurmouth,74078,4788941,4,Low,Meat/Poultry,1000,None,Summer,Perishable,High
Lake Michelleberg,Michaelfurt,31771,3063142,2,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
East Matthew,Lake Kristen,98351,4259934,5,Low,Fresh Produce,1000,Health,Normal,Perishable,High
South Justinside,West Michellemouth,02796,3655474,1,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Laurenborough,Lake Victoria,50753,2513244,1,Medium,Dairy,689,None,Summer,Perishable,Standard
Christophershire,Connertown,70361,725845,5,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Marktown,East Anthony,46459,1432553,6,Low,Dry Goods,1000,Economic,Normal,Non-Perishable,High
Amberberg,North Kimberlytown,68440,3952652,3,High,Dry Goods,1000,None,Summer,Non-Perishable,Standard
West George,Jenniferside,51696,4039319,1,Medium,Dry Goods,1000,Health,Holiday,Non-Perishable,Standard
New Crystalland,Davidchester,83099,902751,2,Medium,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
Arellanoshire,North Samuel,45925,3763507,5,High,Meat/Poultry,1000,None,BackToSchool,Perishable,Standard
Pattyfurt,Lake Caitlinborough,80235,2514635,1,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Matthewmouth,Aprilburgh,71672,1503731,1,Medium,Dry Goods,973,None,Normal,Non-Perishable,Standard
Floresfurt,North Melissashire,01960,1441924,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Debramouth,South Jasonmouth,66346,4627322,5,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
Arielmouth,Johnsonmouth,69094,4409422,5,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Wandafurt,New Madison,98275,2604989,1,Low,Dry Goods,967,Weather,Normal,Non-Perishable,Medium
South Toniton,Millerburgh,16660,3710663,2,Medium,Meat/Poultry,1000,Weather,Normal,Perishable,Standard
Johnburgh,Kaylaton,19009,58431,3,Low,Canned Goods,10,Economic,Holiday,Non-Perishable,Medium
Port Michellebury,Velezberg,24051,3492626,5,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Frankshire,East Lance,32176,2664464,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Rachelmouth,North Tony,52834,1067027,3,High,Canned Goods,315,Health,Normal,Non-Perishable,Standard
North Charles,Downsport,52576,628328,4,High,Fresh Produce,1000,None,Holiday,Perishable,Standard
East Tiffanyberg,North Phillip,15725,3048474,3,Medium,Meat/Poultry,1000,None,Holiday,Perishable,Standard
North Latoya,Annberg,95096,4555050,5,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Craigborough,West Ivanville,25139,2647118,6,Low,Meat/Poultry,1000,Weather,Normal,Perishable,High
Cruzville,Vasquezburgh,36800,4433289,2,Medium,Dry Goods,1000,Economic,Summer,Non-Perishable,Standard
South Elizabethstad,Thomaschester,42217,491778,1,Medium,Canned Goods,952,None,Summer,Non-Perishable,Standard
South Ravenchester,Jefferyshire,41108,2768561,2,Medium,Meat/Poultry,490,None,Normal,Perishable,Standard
Benjaminmouth,Georgeberg,08698,2524883,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Khanton,Donnaview,31226,77954,5,Low,Dairy,10,None,Normal,Perishable,High
Lake Danielleport,South Courtneyton,98214,1994131,4,Low,Dairy,1000,None,Holiday,Perishable,High
Jonesville,East Williamburgh,09111,3763738,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Collinston,East Curtisville,92634,1364777,2,Medium,Fresh Produce,1000,Weather,Summer,Perishable,Standard
Jenniferfurt,South Kimberlytown,91958,4304656,1,Medium,Fresh Produce,712,None,Normal,Perishable,Standard
West Leslie,Sullivanland,26548,4089336,4,High,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
East Sheri,Port Margaretberg,01811,1246308,2,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
East Barbara,Lake Richardmouth,88916,159492,6,Medium,Dry Goods,693,None,Normal,Non-Perishable,Standard
South Tammyhaven,New Margaret,35655,3899730,5,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
South Ethanland,South Katieview,68446,2813879,2,Medium,Dairy,1000,None,BackToSchool,Perishable,Standard
East Lori,Williamsside,64319,620199,5,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Lake Charles,Lewischester,49270,2257923,2,Medium,Canned Goods,1000,Weather,Normal,Non-Perishable,Standard
Staceystad,Sophiachester,97643,2709734,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
West Michelle,Romerohaven,81333,2727224,3,Low,Dairy,1000,None,BackToSchool,Perishable,Medium
Jenniferton,Priceborough,54898,3745386,6,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
South Laura,Lake Nancytown,51345,459605,6,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Burnettshire,North Jennifer,43591,2079275,4,High,Meat/Poultry,1000,Economic,Holiday,Perishable,Standard
Petersfort,North Samuelland,35175,3271311,5,Medium,Meat/Poultry,1000,None,Holiday,Perishable,Standard
North Cheryl,North Marcusfort,81629,1424522,5,Medium,Canned Goods,1000,Weather,Holiday,Non-Perishable,Standard
Nguyenstad,North Tiffanyshire,87941,4981223,6,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Connerville,North Frankbury,89673,4943706,2,High,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
North Jennifer,Blevinsland,50539,4920447,6,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
Fisherfort,Holdenville,01493,2511089,5,Low,Dairy,1000,Economic,Normal,Perishable,High
Richardchester,Robertstad,36693,820389,3,Medium,Meat/Poultry,1000,Economic,Normal,Perishable,Standard
Lake Sonyafurt,New Elizabethview,39531,81320,2,High,Fresh Produce,10,Health,Holiday,Perishable,Standard
Wendybury,Lake Christina,65920,4626170,1,High,Dry Goods,1000,None,Summer,Non-Perishable,Standard
Port Anthonyborough,Angelamouth,65926,671306,1,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
South Harry,New Michaelshire,11624,3232048,3,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Bruceton,Port Jasonville,28957,228346,2,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
Pamelachester,West Briannatown,57757,2893891,5,High,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Dakotashire,Jennifershire,92210,1847182,1,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
East Teresa,Jessicastad,18849,506163,5,Low,Canned Goods,1000,None,Summer,Non-Perishable,High
Lake Emily,South Tara,24692,695038,5,Medium,Dairy,1000,None,Normal,Perishable,Standard
West Carla,West Douglasmouth,22733,3896522,6,Low,Dry Goods,1000,None,BackToSchool,Non-Perishable,High
Gregorymouth,New Virginia,63049,351794,1,Medium,Dry Goods,511,None,Normal,Non-Perishable,Standard
Jamesstad,Cohenborough,38730,1550897,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Matthewfort,East Marytown,78920,4702577,5,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Thomasberg,New Kathryn,77693,1355273,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Snyderfurt,East Natalie,93958,1646861,1,High,Canned Goods,201,None,Holiday,Non-Perishable,Standard
Cookhaven,Sanchezborough,08018,4661217,1,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Peter,North Daniel,25576,3388421,6,Low,Dry Goods,1000,None,Summer,Non-Perishable,High
Lake Rebeccaville,Lake Michelle,93953,1303432,2,Medium,Dairy,1000,None,Normal,Perishable,Standard
Wiseshire,Romanburgh,65361,2255157,6,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Millershire,Lake Hollymouth,41631,4913704,5,High,Dairy,1000,Economic,Normal,Perishable,Standard
Salazarland,Connerborough,93883,1966027,3,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Campbellland,Cantuborough,23684,1509341,1,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
South Rita,Lambview,07266,4011574,4,Medium,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
Port Tylerburgh,North Anita,78433,548868,2,Medium,Meat/Poultry,1000,Weather,Holiday,Perishable,Standard
Figueroaburgh,Port Alexandra,37044,4712737,4,Medium,Dairy,1000,None,Normal,Perishable,Standard
Port Jennifer,Robertston,39645,353118,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
New Anthonystad,New Charleschester,85393,431105,2,High,Fresh Produce,380,None,Summer,Perishable,Standard
Andrewsville,Lake Brian,09754,2067965,5,High,Dairy,1000,None,Normal,Perishable,Standard
South Jessica,Johnstad,00738,3945466,5,Low,Fresh Produce,1000,None,Holiday,Perishable,High
Longfort,Jenniferside,34982,3519788,5,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
West Tracyville,Lake Melissa,93794,4029845,5,Medium,Dry Goods,1000,Economic,Summer,Non-Perishable,Standard
Meganfurt,South Staceybury,14810,1404799,5,Low,Meat/Poultry,1000,None,Holiday,Perishable,High
Matthewsberg,Lopezbury,67045,356280,4,Low,Dairy,1000,None,Normal,Perishable,High
North Jeffreyville,Christineborough,19142,605279,3,Medium,Dairy,1000,None,Normal,Perishable,Standard
East Fredside,Scottport,63468,2731188,4,Low,Dairy,1000,None,Normal,Perishable,High
Travismouth,New Dale,75228,116426,5,Low,Dairy,940,None,Normal,Perishable,High
Alexanderport,West Thomasview,52193,3593773,2,Low,Canned Goods,947,None,Holiday,Non-Perishable,Medium
Port Tiffany,Brownton,56767,1705099,5,High,Meat/Poultry,1000,None,BackToSchool,Perishable,Standard
Edwardshire,Wrightchester,16799,3514334,4,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Port Amber,Cervantesmouth,81351,4964500,3,Medium,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Port Bradley,New Mary,09639,4584711,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Greenmouth,South Jacobstad,60328,3628406,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Williamsberg,Melindabury,51465,2381518,4,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
North Roberta,North Carolynfort,70147,189816,2,Low,Fresh Produce,1000,None,Summer,Perishable,Medium
East Theresaton,Theresaton,37073,4424573,6,High,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
West Alexberg,West Matthewchester,17428,3782827,3,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Melindastad,East Joan,75013,2267891,5,High,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Port Holly,Port Scottshire,04526,1179819,1,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
South Carmen,Port Katherineton,32574,751898,2,Medium,Fresh Produce,777,None,Normal,Perishable,Standard
East Deborahton,Boyerchester,82711,3318751,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
South Larryberg,East Steve,71948,1833547,1,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
West Rhonda,Sheenastad,45620,4476502,3,Low,Canned Goods,296,None,Summer,Non-Perishable,Medium
Hunterstad,Shermanville,39266,1952840,1,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Lake Sarah,Morrowfort,94432,1413207,3,Low,Fresh Produce,1000,None,BackToSchool,Perishable,Medium
Coxfort,Lonniefort,12659,4711817,5,Medium,Meat/Poultry,1000,Weather,Normal,Perishable,Standard
Janetberg,Brianside,01270,3149153,5,Low,Fresh Produce,1000,None,Normal,Perishable,High
Cynthiaton,South Amyfort,38532,332432,1,Medium,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
East Michael,East Thomasmouth,22286,260004,5,High,Meat/Poultry,1000,None,Holiday,Perishable,Standard
North Maryport,Guerrachester,48900,4232753,4,High,Canned Goods,1000,Weather,Normal,Non-Perishable,Standard
East Duane,New Haileyborough,78795,4311007,4,Medium,Meat/Poultry,1000,Weather,BackToSchool,Perishable,Standard
East Michael,Matthewside,24873,197614,4,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
New Eileenmouth,Matthewborough,28131,2165288,6,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Lake John,South Jennifershire,68140,4453659,5,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Port Howardhaven,Markfort,54230,2750538,2,Low,Fresh Produce,1000,None,Summer,Perishable,Medium
West Jessicaburgh,South Angelafurt,54145,2292625,4,High,Meat/Poultry,1000,Economic,Normal,Perishable,Standard
Lake Brianville,East Anthonyton,15599,4987092,1,Low,Dairy,1000,None,Summer,Perishable,Medium
Lake Richardland,Sabrinaland,49826,387302,6,Medium,Canned Goods,577,None,Normal,Non-Perishable,Standard
Robertberg,Teresatown,01301,4297130,1,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
North Robert,Brookeshire,13022,461988,4,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
South Jessica,New Calebstad,60000,4559037,4,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
West Christianport,West Jennifer,26474,4849569,1,High,Meat/Poultry,1000,Weather,Normal,Perishable,Standard
Davidfurt,Nicholasbury,08179,3729411,6,Low,Fresh Produce,1000,None,Summer,Perishable,High
Boyerland,Lake Terrifort,54658,155037,5,Low,Fresh Produce,1000,None,Holiday,Perishable,High
